ft2m,0.3048
kt2ms,0.514444
g,9.80665
Lo,-0.0065
To,288.15
NM2m,1852.0
H0,75.0
H5000,105.0
H10000,120.0
SW_IAF,4630.0
ATT_FAF,444.0
SW_FAF,2685.0
ATT_MAPt,444.0
SW_MAPt,1759.0
SW_MA,3704.0
splay_out,0.2679491924
splay_in,0.5773502692
xZ_A_std,-900.0
xZ_B_std,-900.0
xZ_C_std,-1100.0
xZ_D_std,-1400.0
HL_A_std,40.0
HL_B_std,43.0
HL_C_std,46.0
HL_D_std,49.0
MOC_final,75.0
MOC_MA_init,30.0
MOC_MA_final,50.0
zAD,6.4008
zTHR,3.9624
RDH,15.24
zFAP,682.752
VPA_prom,0.0524077793
temp_min,0.0
temp_devISA,15.0
temp_max,30.0
grad_MA,0.025
xFAF,12593.6
xMAPt,0.0
xMATP,5000.4
zMATP,182.88
wind_MA,5.14444
IAS_final_A,51.4444
IAS_final_B,66.87772
IAS_final_C,82.31104
IAS_final_D,95.17214
OCA_A,143.256
OCA_B,143.256
OCA_C,143.256
OCA_D,143.256
xFAP,12661.2806166874
TAS_conversion,1.0260305944
TAS_final_A,52.7835283096
TAS_final_B,68.6185868025
TAS_final_C,84.4536452953
TAS_final_D,97.6495273727
OCH_A,139.2936
OCH_B,139.2936
OCH_C,139.2936
OCH_D,139.2936
HL_A_calc,40.0
HL_B_calc,43.0
HL_C_calc,46.0
HL_D_calc,49.0
temp_corr,-35.6117478128
VPA_min,0.055220429
grad_FAS,0.0493167479
xFAS,1584.2887284586
xSEC30,671.8198017404
zFAF,542.943428223
xZ_A_calc,-900.0
xZ_B_calc,-900.0
xZ_C_calc,-1100.0
xZ_D_calc,-1400.0
xSOC_A,994.6347538166
xSOC_B,937.3913437534
xSOC_C,680.1479336902
xSOC_D,322.9045236271
xFAF_start,13037.6
xFAF_splay,10989.72095222
xMAPt_start,444.0
xMAPt_splay,-6814.8388215646
xVNAV_end_A,-5000.4
xVNAV_end_B,-5000.4
xVNAV_end_C,-5000.4
xVNAV_end_D,-5000.4
